parmseq,Outcome,idnum,parm,label,estimate,stderr,dof,t,p,min95,max95,uncp,corp,signif,myqvallargervolumes,selected,selected_final,mlog10p
1, zodam ,1003,poororalhealth_sev,,-0.43,0.01282925,35536,-33.265248,6.00E-239,-0.45,-0.4,0.05,0.00003418,1,8.45E-236,1,1,238.2218487
1, zcxcl17 ,396,poororalhealth_sev,,0.21,0.01201595,36816,17.262203,1.70E-66,0.18,0.23,0.05,0.00003418,1,1.21E-63,1,1,65.76955108
1, zwfdc2 ,1450,poororalhealth_sev,,0.2,0.01226317,34565,16.66883,3.90E-62,0.18,0.23,0.05,0.00003418,1,1.89E-59,1,1,61.40893539
1, zgdf15 ,583,poororalhealth_sev,,0.18,0.0112996,36888,15.921399,7.00E-57,0.16,0.2,0.05,0.00003418,1,2.55E-54,1,1,56.15490196
1, zcd83 ,243,poororalhealth_sev,,0.19,0.01242053,36344,15.247686,2.50E-52,0.17,0.21,0.05,0.00003418,1,7.25E-50,1,1,51.60205999
1, zil19 ,718,poororalhealth_sev,,0.19,0.01275313,35487,15.228243,3.40E-52,0.17,0.22,0.05,0.00003418,1,8.19E-50,1,1,51.46852108
1, zmmp12 ,915,poororalhealth_sev,,0.18,0.01217191,36428,14.798979,2.10E-49,0.16,0.2,0.05,0.00003418,1,4.33E-47,1,1,48.67778071
1, zlamp3 ,813,poororalhealth_sev,,0.17,0.01219885,36752,14.238858,7.00E-46,0.15,0.2,0.05,0.00003418,1,1.27E-43,1,1,45.15490196
1, zpigr ,1050,poororalhealth_sev,,0.18,0.01251352,35990,14.098143,5.10E-45,0.15,0.2,0.05,0.00003418,1,8.35E-43,1,1,44.29242982
1, zplaur ,1064,poororalhealth_sev,,0.17,0.01218231,36186,13.895096,8.80E-44,0.15,0.19,0.05,0.00003418,1,1.29E-41,1,1,43.05551733
1, zklk13 ,793,poororalhealth_sev,,0.18,0.01288012,35603,13.663215,2.20E-42,0.15,0.2,0.05,0.00003418,1,2.87E-40,1,1,41.65757732
1, ztnfrsf4 ,1380,poororalhealth_sev,,0.17,0.0125716,36752,13.345801,1.60E-40,0.14,0.19,0.05,0.00003418,1,1.90E-38,1,1,39.79588002
1, zcdcp1 ,251,poororalhealth_sev,,0.16,0.01205274,36156,13.33227,1.90E-40,0.14,0.18,0.05,0.00003418,1,2.11E-38,1,1,39.7212464
1, zdefb4a_defb4b ,421,poororalhealth_sev,,0.16,0.01228563,35900,12.889958,6.20E-38,0.13,0.18,0.05,0.00003418,1,6.51E-36,1,1,37.20760831
1, zacvrl1 ,12,poororalhealth_sev,,0.15,0.01223202,36099,12.511323,7.70E-36,0.13,0.18,0.05,0.00003418,1,7.49E-34,1,1,35.11350927
1, ztnfrsf10b ,1368,poororalhealth_sev,,0.15,0.01231806,36156,12.451514,1.60E-35,0.13,0.18,0.05,0.00003418,1,1.48E-33,1,1,34.79588002
1, zhavcr2 ,638,poororalhealth_sev,,0.15,0.0124417,36451,12.398281,3.10E-35,0.13,0.18,0.05,0.00003418,1,2.71E-33,1,1,34.50863831
1, ztrem2 ,1401,poororalhealth_sev,,0.15,0.0122619,36424,12.22942,2.50E-34,0.13,0.17,0.05,0.00003418,1,2.06E-32,1,0,33.60205999
1, ztnfrsf1b ,1378,poororalhealth_sev,,0.15,0.0125228,36451,11.961855,6.50E-33,0.13,0.17,0.05,0.00003418,1,5.00E-31,1,0,32.18708664
1, zceacam5 ,270,poororalhealth_sev,,0.15,0.01302486,35102,11.59851,4.80E-31,0.13,0.18,0.05,0.00003418,1,3.50E-29,1,1,30.31875876
1, zalpp ,51,poororalhealth_sev,,0.14,0.01256211,36256,11.46497,2.20E-30,0.12,0.17,0.05,0.00003418,1,1.56E-28,1,0,29.65757732
1, zcd27 ,215,poororalhealth_sev,,0.14,0.01258256,36532,11.37124,6.50E-30,0.12,0.17,0.05,0.00003418,1,4.34E-28,1,0,29.18708664
1, zareg ,83,poororalhealth_sev,,0.14,0.01274695,36256,11.305697,1.40E-29,0.12,0.17,0.05,0.00003418,1,8.77E-28,1,0,28.85387196
1, zefna4 ,463,poororalhealth_sev,,0.14,0.0124478,36099,11.16288,6.90E-29,0.11,0.16,0.05,0.00003418,1,4.21E-27,1,0,28.16115091
1, zren ,1159,poororalhealth_sev,,0.13,0.01217759,36433,11.084415,1.70E-28,0.11,0.16,0.05,0.00003418,1,9.71E-27,1,0,27.76955108
1, ztff1 ,1333,poororalhealth_sev,,0.14,0.01253786,36285,11.012983,3.70E-28,0.11,0.16,0.05,0.00003418,1,2.06E-26,1,0,27.43179828
1, zil18bp ,715,poororalhealth_sev,,0.14,0.01254458,36588,10.987037,4.90E-28,0.11,0.16,0.05,0.00003418,1,2.65E-26,1,0,27.30980392
1, ztnfrsf9 ,1383,poororalhealth_sev,,0.14,0.01267003,36156,10.980252,5.30E-28,0.11,0.16,0.05,0.00003418,1,2.75E-26,1,0,27.27572413
1, zpi3 ,1049,poororalhealth_sev,,0.13,0.01207992,35965,10.969754,5.90E-28,0.11,0.16,0.05,0.00003418,1,2.98E-26,1,0,27.22914799
1, zgfra1 ,589,poororalhealth_sev,,0.13,0.01216063,36660,10.914866,1.10E-27,0.11,0.16,0.05,0.00003418,1,5.27E-26,1,0,26.95860731
1, zicam1 ,669,poororalhealth_sev,,0.14,0.01250173,36291,10.902268,1.20E-27,0.11,0.16,0.05,0.00003418,1,5.86E-26,1,0,26.92081875
1, zlair1 ,809,poororalhealth_sev,,0.13,0.01240007,36424,10.719184,9.10E-27,0.11,0.16,0.05,0.00003418,1,4.15E-25,1,0,26.04095861
1, zigfbp4 ,688,poororalhealth_sev,,0.13,0.01203298,35997,10.56842,4.60E-26,0.1,0.15,0.05,0.00003418,1,2.02E-24,1,0,25.33724217
1, zrelt ,1158,poororalhealth_sev,,0.12,0.01170349,36451,10.551469,5.50E-26,0.1,0.15,0.05,0.00003418,1,2.35E-24,1,0,25.25963731
1, ztnfrsf1a ,1377,poororalhealth_sev,,0.13,0.01218445,36451,10.547648,5.70E-26,0.1,0.15,0.05,0.00003418,1,2.37E-24,1,0,25.24412514
1, zegfr ,466,poororalhealth_sev,,-0.13,0.01250274,36888,-10.520169,7.60E-26,-0.16,-0.11,0.05,0.00003418,1,3.08E-24,1,0,25.11918641
1, zasgr1 ,95,poororalhealth_sev,,0.13,0.01203372,36156,10.444377,1.70E-25,0.1,0.15,0.05,0.00003418,1,6.68E-24,1,0,24.76955108
1, zntrk3 ,995,poororalhealth_sev,,-0.13,0.01260543,36743,-10.230265,1.60E-24,-0.15,-0.1,0.05,0.00003418,1,6.03E-23,1,0,23.79588002
1, zil2ra ,732,poororalhealth_sev,,0.13,0.0127204,36171,10.219677,1.70E-24,0.11,0.15,0.05,0.00003418,1,6.56E-23,1,0,23.76955108
1, zcsf1 ,366,poororalhealth_sev,,0.13,0.01257717,36587,10.176119,2.70E-24,0.1,0.15,0.05,0.00003418,1,9.99E-23,1,0,23.56863624
1, zcd300e ,221,poororalhealth_sev,,0.12,0.01237816,36596,10.045047,1.00E-23,0.1,0.15,0.05,0.00003418,1,3.70E-22,1,0,23
1, zlgals9 ,830,poororalhealth_sev,,0.12,0.0121431,36422,9.9228716,3.50E-23,0.1,0.14,0.05,0.00003418,1,1.23E-21,1,0,22.45593196
1, ztff2 ,1334,poororalhealth_sev,,0.12,0.01252347,36529,9.7836887,1.40E-22,0.1,0.15,0.05,0.00003418,1,4.80E-21,1,0,21.85387196
1, zcd5 ,233,poororalhealth_sev,,0.12,0.01253111,36666,9.7177194,2.70E-22,0.1,0.15,0.05,0.00003418,1,8.96E-21,1,0,21.56863624
1, zil6 ,742,poororalhealth_sev,,0.12,0.01241927,36256,9.7086106,2.90E-22,0.1,0.14,0.05,0.00003418,1,9.59E-21,1,0,21.537602
1, zcd74 ,241,poororalhealth_sev,,0.12,0.01235578,36743,9.6884299,3.60E-22,0.1,0.14,0.05,0.00003418,1,1.14E-20,1,0,21.4436975
1, zsit1 ,1245,poororalhealth_sev,,0.12,0.01286618,35753,9.6366078,6.00E-22,0.1,0.15,0.05,0.00003418,1,1.85E-20,1,0,21.22184875
1, zmsr1 ,930,poororalhealth_sev,,0.12,0.01235446,36743,9.6280481,6.50E-22,0.09,0.14,0.05,0.00003418,1,1.97E-20,1,0,21.18708664
1, zpla2g15 ,1057,poororalhealth_sev,,0.12,0.01253681,36532,9.5350604,1.60E-21,0.09,0.14,0.05,0.00003418,1,4.74E-20,1,0,20.79588002
1, zspon2 ,1286,poororalhealth_sev,,0.12,0.01262037,36266,9.5297997,1.70E-21,0.1,0.15,0.05,0.00003418,1,4.89E-20,1,0,20.76955108
1, ztnfrsf10a ,1367,poororalhealth_sev,,0.12,0.01235273,36156,9.5078475,2.10E-21,0.09,0.14,0.05,0.00003418,1,5.92E-20,1,0,20.67778071
1, zlayn ,817,poororalhealth_sev,,0.12,0.01260121,36099,9.4874657,2.50E-21,0.09,0.14,0.05,0.00003418,1,7.05E-20,1,0,20.60205999
1, zhgf ,645,poororalhealth_sev,,0.11,0.01169454,36816,9.4699958,3.00E-21,0.09,0.13,0.05,0.00003418,1,8.17E-20,1,0,20.52287875
1, zccl21 ,182,poororalhealth_sev,,0.12,0.01274435,36587,9.4406255,3.90E-21,0.1,0.15,0.05,0.00003418,1,1.06E-19,1,0,20.40893539
1, zcolec12 ,335,poororalhealth_sev,,0.11,0.01207799,36424,9.4180431,4.90E-21,0.09,0.14,0.05,0.00003418,1,1.29E-19,1,0,20.30980392
1, ztnr ,1391,poororalhealth_sev,,-0.12,0.01257123,36156,-9.3919186,6.20E-21,-0.14,-0.09,0.05,0.00003418,1,1.63E-19,1,0,20.20760831
1, zepha2 ,486,poororalhealth_sev,,0.12,0.01279399,35113,9.3357531,1.10E-20,0.09,0.14,0.05,0.00003418,1,2.72E-19,1,0,19.95860731
1, zmzb1 ,939,poororalhealth_sev,,0.12,0.01245487,36530,9.3098811,1.30E-20,0.09,0.14,0.05,0.00003418,1,3.40E-19,1,0,19.88605665
1, zprss8 ,1108,poororalhealth_sev,,0.11,0.01158853,36287,9.2999303,1.50E-20,0.09,0.13,0.05,0.00003418,1,3.67E-19,1,0,19.82390874
1, zulbp2 ,1417,poororalhealth_sev,,0.12,0.01270091,36156,9.1750782,4.70E-20,0.09,0.14,0.05,0.00003418,1,1.16E-18,1,0,19.32790214
1, zada2 ,15,poororalhealth_sev,,0.12,0.01276621,36232,9.1167663,8.10E-20,0.09,0.14,0.05,0.00003418,1,1.95E-18,1,0,19.09151498
1, zicam5 ,673,poororalhealth_sev,,0.12,0.01282645,36433,9.1009469,9.40E-20,0.09,0.14,0.05,0.00003418,1,2.22E-18,1,0,19.02687215
1, zaldh3a1 ,50,poororalhealth_sev,,0.11,0.01258519,36278,9.0935569,1.00E-19,0.09,0.14,0.05,0.00003418,1,2.34E-18,1,0,19
1, ztnfsf13b ,1388,poororalhealth_sev,,0.11,0.01230226,36827,9.0581836,1.40E-19,0.09,0.14,0.05,0.00003418,1,3.18E-18,1,0,18.85387196
1, zmsln ,928,poororalhealth_sev,,0.11,0.01271053,36199,9.0293556,1.80E-19,0.09,0.14,0.05,0.00003418,1,4.07E-18,1,0,18.74472749
1, ztimp1 ,1355,poororalhealth_sev,,0.11,0.01254602,36042,8.9975965,2.40E-19,0.09,0.14,0.05,0.00003418,1,5.36E-18,1,0,18.61978876
1, zcst3 ,369,poororalhealth_sev,,0.11,0.01199327,36529,8.9900937,2.60E-19,0.08,0.13,0.05,0.00003418,1,5.65E-18,1,0,18.58502665
1, zadm ,31,poororalhealth_sev,,0.11,0.01175137,36718,8.9740124,3.00E-19,0.08,0.13,0.05,0.00003418,1,6.44E-18,1,0,18.52287875
1, zckap4 ,296,poororalhealth_sev,,0.11,0.0125704,36645,8.9639397,3.30E-19,0.09,0.14,0.05,0.00003418,1,6.95E-18,1,0,18.48148606
1, zvsig4 ,1436,poororalhealth_sev,,0.11,0.01229273,36399,8.9443924,3.90E-19,0.09,0.13,0.05,0.00003418,1,8.18E-18,1,0,18.40893539
1, zfstl3 ,564,poororalhealth_sev,,0.11,0.01204338,36353,8.9109482,5.30E-19,0.08,0.13,0.05,0.00003418,1,1.09E-17,1,0,18.27572413
1, zscarb2 ,1191,poororalhealth_sev,,0.11,0.0124425,35463,8.8232099,1.20E-18,0.09,0.13,0.05,0.00003418,1,2.36E-17,1,0,17.92081875
1, zcol6a3 ,333,poororalhealth_sev,,0.11,0.01212711,36888,8.8072828,1.30E-18,0.08,0.13,0.05,0.00003418,1,2.68E-17,1,0,17.88605665
1, zbsg ,132,poororalhealth_sev,,0.11,0.01257528,36752,8.7931967,1.50E-18,0.09,0.14,0.05,0.00003418,1,3.00E-17,1,0,17.82390874
1, zcd79b ,242,poororalhealth_sev,,0.11,0.01271803,36816,8.7912565,1.50E-18,0.09,0.14,0.05,0.00003418,1,3.01E-17,1,0,17.82390874
1, ztff3 ,1335,poororalhealth_sev,,0.11,0.01277536,36392,8.7718844,1.80E-18,0.09,0.14,0.05,0.00003418,1,3.53E-17,1,0,17.74472749
1, zrspo3 ,1177,poororalhealth_sev,,0.11,0.01228168,36718,8.7598869,2.00E-18,0.08,0.13,0.05,0.00003418,1,3.86E-17,1,0,17.69897
