#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005576	Extracellular region	25	4175	0.61	2.96e-10	9606.ENSP00000221992,9606.ENSP00000233809,9606.ENSP00000243924,9606.ENSP00000252809,9606.ENSP00000261590,9606.ENSP00000263923,9606.ENSP00000275493,9606.ENSP00000287814,9606.ENSP00000296695,9606.ENSP00000302100,9606.ENSP00000314897,9606.ENSP00000327513,9606.ENSP00000339328,9606.ENSP00000347591,9606.ENSP00000353030,9606.ENSP00000355124,9606.ENSP00000364711,9606.ENSP00000367265,9606.ENSP00000370473,9606.ENSP00000373489,9606.ENSP00000379097,9606.ENSP00000404131,9606.ENSP00000422464,9606.ENSP00000480132,9606.ENSP00000499459	CEACAM5,IGFBP2,PI3,GDF15,DSG2,KDR,EGFR,TIMP4,SPINK1,LGALS4,ANGPT2,CSF1,PLAUR,GFRA1,PTPRF,KRT19,OGN,CKAP4,IGFBP3,KRT18,AREG,TGFA,PDGFC,NCAM1,IL19
GO:0005615	Extracellular space	22	3247	0.66	3.04e-09	9606.ENSP00000221992,9606.ENSP00000233809,9606.ENSP00000243924,9606.ENSP00000252809,9606.ENSP00000261590,9606.ENSP00000275493,9606.ENSP00000287814,9606.ENSP00000296695,9606.ENSP00000302100,9606.ENSP00000314897,9606.ENSP00000327513,9606.ENSP00000347591,9606.ENSP00000353030,9606.ENSP00000355124,9606.ENSP00000364711,9606.ENSP00000367265,9606.ENSP00000370473,9606.ENSP00000373489,9606.ENSP00000379097,9606.ENSP00000404131,9606.ENSP00000422464,9606.ENSP00000499459	CEACAM5,IGFBP2,PI3,GDF15,DSG2,EGFR,TIMP4,SPINK1,LGALS4,ANGPT2,CSF1,GFRA1,PTPRF,KRT19,OGN,CKAP4,IGFBP3,KRT18,AREG,TGFA,PDGFC,IL19
GO:0009986	Cell surface	11	894	0.92	1.97e-05	9606.ENSP00000221992,9606.ENSP00000261590,9606.ENSP00000263923,9606.ENSP00000275493,9606.ENSP00000339328,9606.ENSP00000347591,9606.ENSP00000351209,9606.ENSP00000379097,9606.ENSP00000404131,9606.ENSP00000422464,9606.ENSP00000480132	CEACAM5,DSG2,KDR,EGFR,PLAUR,GFRA1,EPHA2,AREG,TGFA,PDGFC,NCAM1
GO:0071944	Cell periphery	23	6015	0.41	4.43e-05	9606.ENSP00000178638,9606.ENSP00000221992,9606.ENSP00000233809,9606.ENSP00000243924,9606.ENSP00000261590,9606.ENSP00000263923,9606.ENSP00000275493,9606.ENSP00000287814,9606.ENSP00000302100,9606.ENSP00000314897,9606.ENSP00000327513,9606.ENSP00000339328,9606.ENSP00000347591,9606.ENSP00000351209,9606.ENSP00000353030,9606.ENSP00000355124,9606.ENSP00000364711,9606.ENSP00000367265,9606.ENSP00000373489,9606.ENSP00000375622,9606.ENSP00000404131,9606.ENSP00000422464,9606.ENSP00000480132	CA12,CEACAM5,IGFBP2,PI3,DSG2,KDR,EGFR,TIMP4,LGALS4,ANGPT2,CSF1,PLAUR,GFRA1,EPHA2,PTPRF,KRT19,OGN,CKAP4,KRT18,LAIR1,TGFA,PDGFC,NCAM1
GO:0031982	Vesicle	18	3957	0.49	0.00041	9606.ENSP00000221992,9606.ENSP00000233809,9606.ENSP00000252809,9606.ENSP00000261590,9606.ENSP00000263923,9606.ENSP00000275493,9606.ENSP00000296695,9606.ENSP00000339328,9606.ENSP00000347591,9606.ENSP00000353030,9606.ENSP00000355124,9606.ENSP00000364711,9606.ENSP00000367265,9606.ENSP00000373489,9606.ENSP00000375622,9606.ENSP00000379097,9606.ENSP00000404131,9606.ENSP00000422464	CEACAM5,IGFBP2,GDF15,DSG2,KDR,EGFR,SPINK1,PLAUR,GFRA1,PTPRF,KRT19,OGN,CKAP4,KRT18,LAIR1,AREG,TGFA,PDGFC
GO:0005886	Plasma membrane	20	5544	0.39	0.0021	9606.ENSP00000178638,9606.ENSP00000221992,9606.ENSP00000233809,9606.ENSP00000243924,9606.ENSP00000261590,9606.ENSP00000263923,9606.ENSP00000275493,9606.ENSP00000302100,9606.ENSP00000314897,9606.ENSP00000327513,9606.ENSP00000339328,9606.ENSP00000347591,9606.ENSP00000351209,9606.ENSP00000353030,9606.ENSP00000355124,9606.ENSP00000367265,9606.ENSP00000375622,9606.ENSP00000404131,9606.ENSP00000422464,9606.ENSP00000480132	CA12,CEACAM5,IGFBP2,PI3,DSG2,KDR,EGFR,LGALS4,ANGPT2,CSF1,PLAUR,GFRA1,EPHA2,PTPRF,KRT19,CKAP4,LAIR1,TGFA,PDGFC,NCAM1
GO:0070062	Extracellular exosome	12	2096	0.59	0.0057	9606.ENSP00000221992,9606.ENSP00000233809,9606.ENSP00000252809,9606.ENSP00000261590,9606.ENSP00000296695,9606.ENSP00000347591,9606.ENSP00000353030,9606.ENSP00000355124,9606.ENSP00000364711,9606.ENSP00000367265,9606.ENSP00000373489,9606.ENSP00000422464	CEACAM5,IGFBP2,GDF15,DSG2,SPINK1,GFRA1,PTPRF,KRT19,OGN,CKAP4,KRT18,PDGFC
GO:0005788	Endoplasmic reticulum lumen	5	312	1.04	0.0167	9606.ENSP00000327513,9606.ENSP00000339328,9606.ENSP00000367265,9606.ENSP00000370473,9606.ENSP00000422464	CSF1,PLAUR,CKAP4,IGFBP3,PDGFC
GO:0031225	Anchored component of membrane	4	171	1.2	0.0204	9606.ENSP00000221992,9606.ENSP00000339328,9606.ENSP00000347591,9606.ENSP00000480132	CEACAM5,PLAUR,GFRA1,NCAM1
GO:0031012	Extracellular matrix	6	552	0.87	0.0214	9606.ENSP00000243924,9606.ENSP00000287814,9606.ENSP00000302100,9606.ENSP00000314897,9606.ENSP00000364711,9606.ENSP00000480132	PI3,TIMP4,LGALS4,ANGPT2,OGN,NCAM1
GO:0030669	Clathrin-coated endocytic vesicle membrane	3	70	1.46	0.0226	9606.ENSP00000275493,9606.ENSP00000379097,9606.ENSP00000404131	EGFR,AREG,TGFA
GO:0035579	Specific granule membrane	3	90	1.35	0.0408	9606.ENSP00000339328,9606.ENSP00000367265,9606.ENSP00000375622	PLAUR,CKAP4,LAIR1
