#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0008083	Growth factor activity	6	162	1.4	0.00069	9606.ENSP00000252809,9606.ENSP00000327513,9606.ENSP00000364711,9606.ENSP00000379097,9606.ENSP00000404131,9606.ENSP00000422464	GDF15,CSF1,OGN,AREG,TGFA,PDGFC
GO:0005102	Signaling receptor binding	12	1499	0.74	0.0013	9606.ENSP00000233809,9606.ENSP00000252809,9606.ENSP00000263923,9606.ENSP00000314897,9606.ENSP00000327513,9606.ENSP00000339328,9606.ENSP00000347591,9606.ENSP00000364711,9606.ENSP00000379097,9606.ENSP00000404131,9606.ENSP00000422464,9606.ENSP00000499459	IGFBP2,GDF15,KDR,ANGPT2,CSF1,PLAUR,GFRA1,OGN,AREG,TGFA,PDGFC,IL19
GO:0019838	Growth factor binding	5	127	1.43	0.0013	9606.ENSP00000233809,9606.ENSP00000263923,9606.ENSP00000275493,9606.ENSP00000351209,9606.ENSP00000370473	IGFBP2,KDR,EGFR,EPHA2,IGFBP3
GO:0030546	Signaling receptor activator activity	8	506	1.03	0.0013	9606.ENSP00000252809,9606.ENSP00000275493,9606.ENSP00000327513,9606.ENSP00000364711,9606.ENSP00000379097,9606.ENSP00000404131,9606.ENSP00000422464,9606.ENSP00000499459	GDF15,EGFR,CSF1,OGN,AREG,TGFA,PDGFC,IL19
GO:0030297	Transmembrane receptor protein tyrosine kinase activator activity	3	14	2.16	0.0016	9606.ENSP00000275493,9606.ENSP00000379097,9606.ENSP00000404131	EGFR,AREG,TGFA
GO:0048018	Receptor ligand activity	7	499	0.98	0.0047	9606.ENSP00000252809,9606.ENSP00000327513,9606.ENSP00000364711,9606.ENSP00000379097,9606.ENSP00000404131,9606.ENSP00000422464,9606.ENSP00000499459	GDF15,CSF1,OGN,AREG,TGFA,PDGFC,IL19
GO:0098772	Molecular function regulator activity	12	1960	0.62	0.0061	9606.ENSP00000243924,9606.ENSP00000252809,9606.ENSP00000275493,9606.ENSP00000287814,9606.ENSP00000296695,9606.ENSP00000327513,9606.ENSP00000364711,9606.ENSP00000370473,9606.ENSP00000379097,9606.ENSP00000404131,9606.ENSP00000422464,9606.ENSP00000499459	PI3,GDF15,EGFR,TIMP4,SPINK1,CSF1,OGN,IGFBP3,AREG,TGFA,PDGFC,IL19
GO:0050839	Cell adhesion molecule binding	7	560	0.93	0.0077	9606.ENSP00000261590,9606.ENSP00000263923,9606.ENSP00000275493,9606.ENSP00000347591,9606.ENSP00000351209,9606.ENSP00000353030,9606.ENSP00000373489	DSG2,KDR,EGFR,GFRA1,EPHA2,PTPRF,KRT18
GO:0031995	Insulin-like growth factor II binding	2	8	2.23	0.0418	9606.ENSP00000233809,9606.ENSP00000370473	IGFBP2,IGFBP3
GO:0005515	Protein binding	21	7242	0.29	0.0429	9606.ENSP00000221992,9606.ENSP00000233809,9606.ENSP00000252809,9606.ENSP00000261590,9606.ENSP00000263923,9606.ENSP00000275493,9606.ENSP00000287814,9606.ENSP00000295256,9606.ENSP00000314897,9606.ENSP00000327513,9606.ENSP00000339328,9606.ENSP00000347591,9606.ENSP00000351209,9606.ENSP00000353030,9606.ENSP00000364711,9606.ENSP00000370473,9606.ENSP00000373489,9606.ENSP00000379097,9606.ENSP00000404131,9606.ENSP00000422464,9606.ENSP00000499459	CEACAM5,IGFBP2,GDF15,DSG2,KDR,EGFR,TIMP4,HPGDS,ANGPT2,CSF1,PLAUR,GFRA1,EPHA2,PTPRF,OGN,IGFBP3,KRT18,AREG,TGFA,PDGFC,IL19
GO:0004714	Transmembrane receptor protein tyrosine kinase activity	3	63	1.51	0.0466	9606.ENSP00000263923,9606.ENSP00000275493,9606.ENSP00000351209	KDR,EGFR,EPHA2
GO:0031994	Insulin-like growth factor I binding	2	10	2.13	0.0481	9606.ENSP00000233809,9606.ENSP00000370473	IGFBP2,IGFBP3
