#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0005102	Signaling receptor binding	21	1499	0.9	1.46e-11	9606.ENSP00000220809,9606.ENSP00000244241,9606.ENSP00000253408,9606.ENSP00000269593,9606.ENSP00000272190,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000297350,9606.ENSP00000301455,9606.ENSP00000320084,9606.ENSP00000353731,9606.ENSP00000354901,9606.ENSP00000355718,9606.ENSP00000365651,9606.ENSP00000381775,9606.ENSP00000385675,9606.ENSP00000409007,9606.ENSP00000418009,9606.ENSP00000431775,9606.ENSP00000436607,9606.ENSP00000469613	PLAT,IL17C,GFAP,IGFBP4,REN,CXCL5,IL15,TNFRSF11B,ANGPTL4,CD276,DPP4,CXCL9,DLL1,NPPB,TNFSF11,IL6,GDNF,RARRES2,IL32,ADM,FLT3LG
GO:0048018	Receptor ligand activity	13	499	1.17	4.49e-09	9606.ENSP00000244241,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000297350,9606.ENSP00000353731,9606.ENSP00000354901,9606.ENSP00000365651,9606.ENSP00000381775,9606.ENSP00000385675,9606.ENSP00000409007,9606.ENSP00000431775,9606.ENSP00000436607,9606.ENSP00000469613	IL17C,CXCL5,IL15,TNFRSF11B,DPP4,CXCL9,NPPB,TNFSF11,IL6,GDNF,IL32,ADM,FLT3LG
GO:0005125	Cytokine activity	9	234	1.34	2.96e-07	9606.ENSP00000244241,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000297350,9606.ENSP00000354901,9606.ENSP00000381775,9606.ENSP00000385675,9606.ENSP00000431775,9606.ENSP00000469613	IL17C,CXCL5,IL15,TNFRSF11B,CXCL9,TNFSF11,IL6,IL32,FLT3LG
GO:0005515	Protein binding	30	7242	0.37	2.82e-06	9606.ENSP00000220809,9606.ENSP00000233954,9606.ENSP00000244241,9606.ENSP00000253408,9606.ENSP00000264896,9606.ENSP00000265371,9606.ENSP00000269593,9606.ENSP00000272190,9606.ENSP00000274306,9606.ENSP00000280904,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000297350,9606.ENSP00000301455,9606.ENSP00000320084,9606.ENSP00000353731,9606.ENSP00000354901,9606.ENSP00000355718,9606.ENSP00000365651,9606.ENSP00000369293,9606.ENSP00000373574,9606.ENSP00000381775,9606.ENSP00000385675,9606.ENSP00000409007,9606.ENSP00000418009,9606.ENSP00000431775,9606.ENSP00000436607,9606.ENSP00000469613,9606.ENSP00000477999,9606.ENSP00000483552	PLAT,IL1RL1,IL17C,GFAP,SCARB2,NRP1,IGFBP4,REN,GZMA,DSC2,CXCL5,IL15,TNFRSF11B,ANGPTL4,CD276,DPP4,CXCL9,DLL1,NPPB,IL2RA,ACVRL1,TNFSF11,IL6,GDNF,RARRES2,IL32,ADM,FLT3LG,NOS1,FURIN
GO:0098772	Molecular function regulator activity	17	1960	0.69	5.28e-06	9606.ENSP00000244241,9606.ENSP00000265371,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000297350,9606.ENSP00000301455,9606.ENSP00000353731,9606.ENSP00000354901,9606.ENSP00000365651,9606.ENSP00000381775,9606.ENSP00000385675,9606.ENSP00000409007,9606.ENSP00000431775,9606.ENSP00000436607,9606.ENSP00000469613,9606.ENSP00000477999,9606.ENSP00000483552	IL17C,NRP1,CXCL5,IL15,TNFRSF11B,ANGPTL4,DPP4,CXCL9,NPPB,TNFSF11,IL6,GDNF,IL32,ADM,FLT3LG,NOS1,FURIN
GO:0004252	Serine-type endopeptidase activity	6	176	1.28	0.00045	9606.ENSP00000220809,9606.ENSP00000274306,9606.ENSP00000353731,9606.ENSP00000361850,9606.ENSP00000458585,9606.ENSP00000483552	PLAT,GZMA,DPP4,PLAU,MMP12,FURIN
GO:0019838	Growth factor binding	5	127	1.35	0.0015	9606.ENSP00000265371,9606.ENSP00000269593,9606.ENSP00000369293,9606.ENSP00000373574,9606.ENSP00000483552	NRP1,IGFBP4,IL2RA,ACVRL1,FURIN
GO:0004175	Endopeptidase activity	7	437	0.95	0.0045	9606.ENSP00000220809,9606.ENSP00000272190,9606.ENSP00000274306,9606.ENSP00000353731,9606.ENSP00000361850,9606.ENSP00000458585,9606.ENSP00000483552	PLAT,REN,GZMA,DPP4,PLAU,MMP12,FURIN
GO:0004896	Cytokine receptor activity	4	96	1.37	0.0109	9606.ENSP00000233954,9606.ENSP00000327824,9606.ENSP00000369293,9606.ENSP00000379111	IL1RL1,IFNLR1,IL2RA,IL4R
GO:0005126	Cytokine receptor binding	5	270	1.02	0.0384	9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000354901,9606.ENSP00000381775,9606.ENSP00000385675	CXCL5,IL15,CXCL9,TNFSF11,IL6
GO:0019955	Cytokine binding	4	141	1.2	0.0384	9606.ENSP00000233954,9606.ENSP00000265371,9606.ENSP00000369293,9606.ENSP00000373574	IL1RL1,NRP1,IL2RA,ACVRL1
