#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
hsa04060	Cytokine-cytokine receptor interaction	13	282	1.41	5.28e-13	9606.ENSP00000233954,9606.ENSP00000244241,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000297350,9606.ENSP00000327824,9606.ENSP00000354901,9606.ENSP00000369293,9606.ENSP00000373574,9606.ENSP00000379111,9606.ENSP00000381775,9606.ENSP00000385675,9606.ENSP00000431775	IL1RL1,IL17C,CXCL5,IL15,TNFRSF11B,IFNLR1,CXCL9,IL2RA,ACVRL1,IL4R,TNFSF11,IL6,IL32
hsa04630	JAK-STAT signaling pathway	5	158	1.25	0.0016	9606.ENSP00000296545,9606.ENSP00000327824,9606.ENSP00000369293,9606.ENSP00000379111,9606.ENSP00000385675	IL15,IFNLR1,IL2RA,IL4R,IL6
hsa04061	Viral protein interaction with cytokine and cytokine receptor	4	96	1.37	0.0019	9606.ENSP00000296027,9606.ENSP00000354901,9606.ENSP00000369293,9606.ENSP00000385675	CXCL5,CXCL9,IL2RA,IL6
hsa04640	Hematopoietic cell lineage	4	90	1.4	0.0019	9606.ENSP00000369293,9606.ENSP00000379111,9606.ENSP00000385675,9606.ENSP00000469613	IL2RA,IL4R,IL6,FLT3LG
hsa05323	Rheumatoid arthritis	4	83	1.43	0.0019	9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000381775,9606.ENSP00000385675	CXCL5,IL15,TNFSF11,IL6
hsa05200	Pathways in cancer	6	515	0.82	0.0156	9606.ENSP00000296545,9606.ENSP00000355718,9606.ENSP00000369293,9606.ENSP00000379111,9606.ENSP00000385675,9606.ENSP00000469613	IL15,DLL1,IL2RA,IL4R,IL6,FLT3LG
hsa04657	IL-17 signaling pathway	3	91	1.27	0.0243	9606.ENSP00000244241,9606.ENSP00000296027,9606.ENSP00000385675	IL17C,CXCL5,IL6
hsa04658	Th1 and Th2 cell differentiation	3	85	1.3	0.0243	9606.ENSP00000355718,9606.ENSP00000369293,9606.ENSP00000379111	DLL1,IL2RA,IL4R
hsa05166	Human T-cell leukemia virus 1 infection	4	210	1.03	0.0243	9606.ENSP00000265371,9606.ENSP00000296545,9606.ENSP00000369293,9606.ENSP00000385675	NRP1,IL15,IL2RA,IL6
hsa04659	Th17 cell differentiation	3	99	1.23	0.0261	9606.ENSP00000369293,9606.ENSP00000379111,9606.ENSP00000385675	IL2RA,IL4R,IL6
hsa04668	TNF signaling pathway	3	111	1.18	0.0328	9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000385675	CXCL5,IL15,IL6
