#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO:0051239	Regulation of multicellular organismal process	25	2749	0.71	3.10e-10	9606.ENSP00000220809,9606.ENSP00000233954,9606.ENSP00000253408,9606.ENSP00000259486,9606.ENSP00000265371,9606.ENSP00000272190,9606.ENSP00000280904,9606.ENSP00000296545,9606.ENSP00000297350,9606.ENSP00000301455,9606.ENSP00000320084,9606.ENSP00000355718,9606.ENSP00000361850,9606.ENSP00000365651,9606.ENSP00000369293,9606.ENSP00000373574,9606.ENSP00000379111,9606.ENSP00000381775,9606.ENSP00000385675,9606.ENSP00000409007,9606.ENSP00000431775,9606.ENSP00000436607,9606.ENSP00000458585,9606.ENSP00000477999,9606.ENSP00000483552	PLAT,IL1RL1,GFAP,ENPP2,NRP1,REN,DSC2,IL15,TNFRSF11B,ANGPTL4,CD276,DLL1,PLAU,NPPB,IL2RA,ACVRL1,IL4R,TNFSF11,IL6,GDNF,IL32,ADM,MMP12,NOS1,FURIN
GO:0051240	Positive regulation of multicellular organismal process	20	1505	0.87	4.22e-10	9606.ENSP00000220809,9606.ENSP00000233954,9606.ENSP00000253408,9606.ENSP00000265371,9606.ENSP00000296545,9606.ENSP00000301455,9606.ENSP00000320084,9606.ENSP00000355718,9606.ENSP00000361850,9606.ENSP00000365651,9606.ENSP00000369293,9606.ENSP00000373574,9606.ENSP00000379111,9606.ENSP00000381775,9606.ENSP00000385675,9606.ENSP00000409007,9606.ENSP00000431775,9606.ENSP00000436607,9606.ENSP00000458585,9606.ENSP00000483552	PLAT,IL1RL1,GFAP,NRP1,IL15,ANGPTL4,CD276,DLL1,PLAU,NPPB,IL2RA,ACVRL1,IL4R,TNFSF11,IL6,GDNF,IL32,ADM,MMP12,FURIN
GO:0023052	Signaling	30	5057	0.52	8.32e-10	9606.ENSP00000220809,9606.ENSP00000233954,9606.ENSP00000244241,9606.ENSP00000265371,9606.ENSP00000269593,9606.ENSP00000272190,9606.ENSP00000274306,9606.ENSP00000280904,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000297350,9606.ENSP00000320084,9606.ENSP00000327824,9606.ENSP00000353731,9606.ENSP00000354901,9606.ENSP00000355718,9606.ENSP00000361850,9606.ENSP00000365651,9606.ENSP00000369293,9606.ENSP00000373574,9606.ENSP00000379111,9606.ENSP00000381775,9606.ENSP00000385675,9606.ENSP00000409007,9606.ENSP00000418009,9606.ENSP00000431775,9606.ENSP00000436607,9606.ENSP00000469613,9606.ENSP00000477999,9606.ENSP00000483552	PLAT,IL1RL1,IL17C,NRP1,IGFBP4,REN,GZMA,DSC2,CXCL5,IL15,TNFRSF11B,CD276,IFNLR1,DPP4,CXCL9,DLL1,PLAU,NPPB,IL2RA,ACVRL1,IL4R,TNFSF11,IL6,GDNF,RARRES2,IL32,ADM,FLT3LG,NOS1,FURIN
GO:0007154	Cell communication	30	5165	0.51	1.13e-09	9606.ENSP00000220809,9606.ENSP00000233954,9606.ENSP00000244241,9606.ENSP00000265371,9606.ENSP00000269593,9606.ENSP00000272190,9606.ENSP00000274306,9606.ENSP00000280904,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000297350,9606.ENSP00000320084,9606.ENSP00000327824,9606.ENSP00000353731,9606.ENSP00000354901,9606.ENSP00000355718,9606.ENSP00000361850,9606.ENSP00000365651,9606.ENSP00000369293,9606.ENSP00000373574,9606.ENSP00000379111,9606.ENSP00000381775,9606.ENSP00000385675,9606.ENSP00000409007,9606.ENSP00000418009,9606.ENSP00000431775,9606.ENSP00000436607,9606.ENSP00000469613,9606.ENSP00000477999,9606.ENSP00000483552	PLAT,IL1RL1,IL17C,NRP1,IGFBP4,REN,GZMA,DSC2,CXCL5,IL15,TNFRSF11B,CD276,IFNLR1,DPP4,CXCL9,DLL1,PLAU,NPPB,IL2RA,ACVRL1,IL4R,TNFSF11,IL6,GDNF,RARRES2,IL32,ADM,FLT3LG,NOS1,FURIN
GO:0007165	Signal transduction	29	4714	0.54	1.13e-09	9606.ENSP00000220809,9606.ENSP00000233954,9606.ENSP00000244241,9606.ENSP00000265371,9606.ENSP00000269593,9606.ENSP00000272190,9606.ENSP00000274306,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000297350,9606.ENSP00000320084,9606.ENSP00000327824,9606.ENSP00000353731,9606.ENSP00000354901,9606.ENSP00000355718,9606.ENSP00000361850,9606.ENSP00000365651,9606.ENSP00000369293,9606.ENSP00000373574,9606.ENSP00000379111,9606.ENSP00000381775,9606.ENSP00000385675,9606.ENSP00000409007,9606.ENSP00000418009,9606.ENSP00000431775,9606.ENSP00000436607,9606.ENSP00000469613,9606.ENSP00000477999,9606.ENSP00000483552	PLAT,IL1RL1,IL17C,NRP1,IGFBP4,REN,GZMA,CXCL5,IL15,TNFRSF11B,CD276,IFNLR1,DPP4,CXCL9,DLL1,PLAU,NPPB,IL2RA,ACVRL1,IL4R,TNFSF11,IL6,GDNF,RARRES2,IL32,ADM,FLT3LG,NOS1,FURIN
GO:0050896	Response to stimulus	34	7835	0.39	1.43e-09	9606.ENSP00000220809,9606.ENSP00000233954,9606.ENSP00000244241,9606.ENSP00000253408,9606.ENSP00000259486,9606.ENSP00000265371,9606.ENSP00000269593,9606.ENSP00000272190,9606.ENSP00000274306,9606.ENSP00000280904,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000297350,9606.ENSP00000301455,9606.ENSP00000320084,9606.ENSP00000327824,9606.ENSP00000353731,9606.ENSP00000354901,9606.ENSP00000355718,9606.ENSP00000361850,9606.ENSP00000365651,9606.ENSP00000369293,9606.ENSP00000373574,9606.ENSP00000379111,9606.ENSP00000381775,9606.ENSP00000385675,9606.ENSP00000409007,9606.ENSP00000418009,9606.ENSP00000431775,9606.ENSP00000436607,9606.ENSP00000458585,9606.ENSP00000469613,9606.ENSP00000477999,9606.ENSP00000483552	PLAT,IL1RL1,IL17C,GFAP,ENPP2,NRP1,IGFBP4,REN,GZMA,DSC2,CXCL5,IL15,TNFRSF11B,ANGPTL4,CD276,IFNLR1,DPP4,CXCL9,DLL1,PLAU,NPPB,IL2RA,ACVRL1,IL4R,TNFSF11,IL6,GDNF,RARRES2,IL32,ADM,MMP12,FLT3LG,NOS1,FURIN
GO:0006950	Response to stress	25	3358	0.62	4.55e-09	9606.ENSP00000220809,9606.ENSP00000244241,9606.ENSP00000253408,9606.ENSP00000265371,9606.ENSP00000269593,9606.ENSP00000272190,9606.ENSP00000280904,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000301455,9606.ENSP00000327824,9606.ENSP00000353731,9606.ENSP00000354901,9606.ENSP00000361850,9606.ENSP00000365651,9606.ENSP00000369293,9606.ENSP00000373574,9606.ENSP00000379111,9606.ENSP00000381775,9606.ENSP00000385675,9606.ENSP00000418009,9606.ENSP00000431775,9606.ENSP00000436607,9606.ENSP00000458585,9606.ENSP00000477999	PLAT,IL17C,GFAP,NRP1,IGFBP4,REN,DSC2,CXCL5,IL15,ANGPTL4,IFNLR1,DPP4,CXCL9,PLAU,NPPB,IL2RA,ACVRL1,IL4R,TNFSF11,IL6,RARRES2,IL32,ADM,MMP12,NOS1
GO:0048518	Positive regulation of biological process	31	6207	0.45	7.11e-09	9606.ENSP00000220809,9606.ENSP00000233954,9606.ENSP00000253408,9606.ENSP00000259486,9606.ENSP00000264896,9606.ENSP00000265371,9606.ENSP00000269593,9606.ENSP00000274306,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000301455,9606.ENSP00000320084,9606.ENSP00000327824,9606.ENSP00000353731,9606.ENSP00000354901,9606.ENSP00000355718,9606.ENSP00000361850,9606.ENSP00000365651,9606.ENSP00000369293,9606.ENSP00000373574,9606.ENSP00000379111,9606.ENSP00000381775,9606.ENSP00000385675,9606.ENSP00000409007,9606.ENSP00000418009,9606.ENSP00000431775,9606.ENSP00000436607,9606.ENSP00000458585,9606.ENSP00000469613,9606.ENSP00000477999,9606.ENSP00000483552	PLAT,IL1RL1,GFAP,ENPP2,SCARB2,NRP1,IGFBP4,GZMA,CXCL5,IL15,ANGPTL4,CD276,IFNLR1,DPP4,CXCL9,DLL1,PLAU,NPPB,IL2RA,ACVRL1,IL4R,TNFSF11,IL6,GDNF,RARRES2,IL32,ADM,MMP12,FLT3LG,NOS1,FURIN
GO:0051716	Cellular response to stimulus	31	6357	0.44	1.27e-08	9606.ENSP00000220809,9606.ENSP00000233954,9606.ENSP00000244241,9606.ENSP00000253408,9606.ENSP00000265371,9606.ENSP00000269593,9606.ENSP00000272190,9606.ENSP00000274306,9606.ENSP00000280904,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000297350,9606.ENSP00000320084,9606.ENSP00000327824,9606.ENSP00000353731,9606.ENSP00000354901,9606.ENSP00000355718,9606.ENSP00000361850,9606.ENSP00000365651,9606.ENSP00000369293,9606.ENSP00000373574,9606.ENSP00000379111,9606.ENSP00000381775,9606.ENSP00000385675,9606.ENSP00000409007,9606.ENSP00000418009,9606.ENSP00000431775,9606.ENSP00000436607,9606.ENSP00000469613,9606.ENSP00000477999,9606.ENSP00000483552	PLAT,IL1RL1,IL17C,GFAP,NRP1,IGFBP4,REN,GZMA,DSC2,CXCL5,IL15,TNFRSF11B,CD276,IFNLR1,DPP4,CXCL9,DLL1,PLAU,NPPB,IL2RA,ACVRL1,IL4R,TNFSF11,IL6,GDNF,RARRES2,IL32,ADM,FLT3LG,NOS1,FURIN
GO:0009605	Response to external stimulus	21	2355	0.7	3.06e-08	9606.ENSP00000259486,9606.ENSP00000265371,9606.ENSP00000272190,9606.ENSP00000274306,9606.ENSP00000280904,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000297350,9606.ENSP00000327824,9606.ENSP00000353731,9606.ENSP00000354901,9606.ENSP00000361850,9606.ENSP00000365651,9606.ENSP00000379111,9606.ENSP00000381775,9606.ENSP00000385675,9606.ENSP00000409007,9606.ENSP00000418009,9606.ENSP00000436607,9606.ENSP00000458585,9606.ENSP00000477999	ENPP2,NRP1,REN,GZMA,DSC2,CXCL5,IL15,TNFRSF11B,IFNLR1,DPP4,CXCL9,PLAU,NPPB,IL4R,TNFSF11,IL6,GDNF,RARRES2,ADM,MMP12,NOS1
